Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
fir,Top_Level,awready,OUTPUT,1,-,-,-
fir,Top_Level,wready,OUTPUT,1,-,-,-
fir,Top_Level,awvalid,INPUT,1,-,-,-
fir,Top_Level,awaddr,INPUT,12,[11:0],-,-
fir,Top_Level,wvalid,INPUT,1,-,-,-
fir,Top_Level,wdata,INPUT,32,[31:0],-,-
fir,Top_Level,arready,OUTPUT,1,-,-,-
fir,Top_Level,rready,INPUT,1,-,-,-
fir,Top_Level,arvalid,INPUT,1,-,-,-
fir,Top_Level,araddr,INPUT,12,[11:0],-,-
fir,Top_Level,rvalid,OUTPUT,1,-,-,-
fir,Top_Level,rdata,OUTPUT,32,[31:0],-,-
fir,Top_Level,ss_tvalid,INPUT,1,-,-,-
fir,Top_Level,ss_tdata,INPUT,32,[31:0],-,-
fir,Top_Level,ss_tlast,INPUT,1,-,-,-
fir,Top_Level,ss_tready,OUTPUT,1,-,-,-
fir,Top_Level,sm_tready,INPUT,1,-,-,-
fir,Top_Level,sm_tvalid,OUTPUT,1,-,-,-
fir,Top_Level,sm_tdata,OUTPUT,32,[31:0],-,-
fir,Top_Level,sm_tlast,OUTPUT,1,-,-,-
fir,Top_Level,tap_WE,OUTPUT,4,[3:0],module port,bram for tap RAM
fir,Top_Level,tap_EN,OUTPUT,1,-,-,-
fir,Top_Level,tap_Di,OUTPUT,32,[31:0],-,-
fir,Top_Level,tap_A,OUTPUT,12,[11:0],-,-
fir,Top_Level,tap_Do,INPUT,32,[31:0],-,-
fir,Top_Level,data_WE,OUTPUT,4,[3:0],module port,bram for data RAM
fir,Top_Level,data_EN,OUTPUT,1,-,-,-
fir,Top_Level,data_Di,OUTPUT,32,[31:0],-,-
fir,Top_Level,data_A,OUTPUT,12,[11:0],-,-
fir,Top_Level,data_Do,INPUT,32,[31:0],-,-
fir,Top_Level,axis_clk,INPUT,1,-,-,-
fir,Top_Level,axis_rst_n,INPUT,1,-,-,-
